cause,scope,class,disposition.default,flag,approved,meaning.en,meaning.es,expected.action.en,expected.action.es,impact.en,impact.es
COMMA,record,gross,corrected,,yes,Decimal-comma value corrected on entry,Valor con coma decimal corregido al ingreso,Correct the typing practice in the field,Corregir la práctica de tipeo en campo,No impact on the database: the value was repaired on entry. Signals a typing practice to correct.,Sin impacto en la base: el valor fue reparado al ingreso. Señala una práctica de tipeo a corregir.
UNREADABLE,record,gross,rejected,,yes,Reading not admitted: unreadable value,Lectura no incorporada: valor ilegible,Redo the entry at the source,Rehacer la entrada en origen,The reading is absent from the database: the series has a gap at that date.,La lectura no está en la base: la serie tiene un hueco en esa fecha.
MISLABELED,file;survey,gross,corrected,,yes,Instrument identity in the file content disagrees with the filename,La identificación del instrumento no coincide con el nombre del archivo,Fix the file naming,Corregir el naming de archivos,Readings could have been attributed to the wrong instrument; repaired where systematic evidence allows; otherwise kept suspect.,Las lecturas pudieron atribuirse al instrumento equivocado; se repara donde la evidencia sistemática lo permite; si no queda como sospechoso.
REDATED,survey,gross,suspect,,yes,Same field survey published under different dates,El mismo registro de campo publicado bajo fechas distintas,Decide the real date; correct field practice,Decidir la fecha real; corregir la práctica de campo,The series contains the same measurement under two or more dates: change and trend computations across those dates are unreliable until the true date is decided.,La serie contiene la misma medición bajo dos o más fechas: los cálculos de cambio y tendencia sobre esas fechas no son confiables hasta decidir la fecha real.
DUPLICATED,survey,gross,corrected,,yes,Duplicate identical survey files consolidated,Archivos de campaña duplicados (idénticos) consolidados,Remove duplicates at the source,Eliminar duplicados en origen,No impact: identical duplicates were consolidated into one survey.,Sin impacto: duplicados idénticos consolidados en una sola campaña.
DUPLICATED,record,gross,suspect,,yes,Two readings for the same instrument and date,Dos lecturas para el mismo instrumento y fecha,Remove duplicates at the source,Eliminar duplicados en origen,The same instrument and date carries two readings: statistics may double-count.,El mismo instrumento y fecha tiene dos lecturas: las estadísticas pueden contar doble.
MISCOMPUTED,record,gross,corrected,,yes,Reported water-level change disagrees with recorded heads; recomputed value stored,La variación reportada no coincide con las cotas registradas; se almacenó el valor recalculado,Verify the source sheet,Verificar la planilla de origen,Published tables are consistent (the recomputed value is stored); the source sheet still carries the wrong number.,Las tablas publicadas son consistentes (se almacenó el valor recalculado); la planilla de origen aún tiene el número erróneo.
MIXED,file;survey,systematic,suspect,,yes,Mixed units across source sheets,Unidades mezcladas en las planillas,Unify units in the field,Unificar unidades en campo,Values in different units coexist: comparisons and threshold checks are unreliable until units are unified at the source.,Conviven valores en unidades distintas: comparaciones y umbrales no son confiables hasta unificar unidades en origen.
UNITLESS,file,conformance,suspect,,yes,Units not declared for a measured variable,Unidades no declaradas para una variable medida,Complete the units in the source sheet,Completar las unidades en la planilla,The value cannot be interpreted with certainty without its units.,El valor no puede interpretarse con certeza sin sus unidades.
MISCOUNTED,survey,conformance,suspect,,yes,Declared depth count disagrees with observed,La cantidad de profundidades declarada no coincide con la observada,Verify the survey file,Verificar el archivo de campaña,The survey may be incomplete or corrupted; its profile cannot be trusted as-is.,La campaña puede estar incompleta o corrupta; su perfil no es confiable tal cual.
MALFORMED,file,conformance,rejected,,yes,Required columns missing in a source or product table,Faltan columnas requeridas en una tabla fuente o producto,Verify the export or template,Verificar la exportación o plantilla,The file cannot be processed: none of its readings reach the database.,El archivo no puede procesarse: ninguna de sus lecturas llega a la base.
INCOMPLETE,file;survey,conformance,suspect,,yes,Required header field or value missing in a source sheet,Falta un campo o valor requerido del encabezado en la planilla,Complete the sheet header,Completar el encabezado de la planilla,Header data are incomplete: computations that depend on them (units; depths; identification) are in doubt.,Faltan datos del encabezado: los cálculos que dependen de ellos (unidades; profundidades; identificación) quedan en duda.
MISSING,file,conformance,suspect,,yes,Reading present in the field files but absent from the database (or the reverse) with no recorded reason,Lectura presente en los archivos de campo pero ausente de la base (o al revés) sin razón registrada,Find the source file; verify the load,Buscar el archivo de origen; verificar la carga,The database and the field files disagree: readings were lost or appeared without a recorded reason.,La base y los archivos de campo no cuadran: se perdieron lecturas o aparecieron lecturas sin razón registrada.
DRY,record,condition,intact,D,yes,Well dry at measurement; no level value,Pozo seco en la medición; sin valor de nivel,No action; condition of the site,Sin acción; condición del sitio,"Site condition, not an error: there is no water level to report at that date.","Condición del sitio, no un error: no existe nivel de agua para reportar en esa fecha."
START,run,run,intact,,yes,Audit run started,Corrida de auditoría iniciada,,,No impact: run marker.,Sin impacto: marca de corrida.
DONE,run,run,intact,,yes,Audit run completed,Corrida de auditoría completada,,,No impact: run marker.,Sin impacto: marca de corrida.
